ID,Price,Price per sqm,Rooms,Area_total,Kitchen_area,Storeys,District ID,Latitude,Longitude,Construction Type,Renovation State,Construction Year,Log_Price,Log_Price per sqm,balcony,bathroom_num,wardrobe,view,furnished,appliances,floor_heating,air_conditioning,parking,security_features,renovation_quality,distance_to_nearest_metro_stations_m,sports_centers_count,supermarkets_count,schools_count,kindergartens_count,cafes_restaurants_count,public_transport_count,distance_to_nearest_woods_parks_m,distance_to_nearest_water_reservoirs_m,Floor
1970822982.0,4080353.0,74196.0,2.0,55.0,13.0,19.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,15.221694307322387,11.21447899707126,False,1.0,True,False,True,True,False,False,True,True,5.0,2619.1,0,0,0,0,0,0,143.1,441.3,13
1360574269.0,1873590.0,62455.0,1.0,30.0,4.0,4.0,10026800,50.376842,30.541687,цегляний будинок,з ремонтом,2011.909090909091,14.443367468227375,11.042217587800128,False,1.0,True,False,False,False,False,True,True,False,3.0,3090.2,1,1,0,1,3,1,126.2,254.0,4
1865110477.0,3539082.0,46550.0,2.0,76.0,12.0,25.0,10026800,50.37833478228433,30.540408389642835,цегляний будинок,з ремонтом,2015.5,15.079378212005397,10.748303764751594,False,1.0,False,False,False,False,False,False,False,False,1.0,2983.4,0,2,0,1,3,2,249.6,240.7,24
1880151119.0,4038717.0,61372.0,2.0,65.8,12.6,24.0,10026800,50.37841969,30.54043198,панельні,з ремонтом,2019.0,15.211437872845876,11.024725278007825,True,1.0,True,False,True,True,False,True,False,False,5.0,2974.3,0,2,0,1,3,2,253.3,237.6,7
1762267771.0,3830535.0,58125.0,2.0,65.9,15.0,25.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,15.15851529914573,10.97036834704274,True,2.0,True,True,False,True,False,False,False,False,5.0,2619.1,0,0,0,0,0,0,143.1,441.3,18
1399461188.0,1911104.0,51671.0,1.0,37.0,11.0,21.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.46319216676793,10.852671327712308,False,1.0,True,True,True,True,False,False,False,True,4.0,2619.1,0,0,0,0,0,0,143.1,441.3,19
1672999346.0,1249088.0,61539.0,1.0,20.3,5.0,22.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.03792504357466,11.027442648876033,False,1.0,True,True,False,False,True,True,False,False,5.0,2619.1,0,0,0,0,0,0,143.1,441.3,20
425302932.0,1328197.0,22151.0,2.0,60.0,14.0,21.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,без ремонту,2012.25,14.099333694290298,10.005683064850798,False,1.0,False,False,False,False,False,False,False,False,1.0,2619.1,0,0,0,0,0,0,143.1,441.3,7
1626697154.0,1249088.0,69408.0,1.0,18.0,18.0,4.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.03792504357466,11.147771821083902,False,1.0,False,False,True,True,False,False,False,False,1.0,2619.1,0,0,0,0,0,0,143.1,441.3,4
816996201.0,741126.0,37057.0,1.0,20.0,5.0,21.0,10026800,50.375561495825934,30.54185750796876,монолітно-каркасний,без ремонту,2010.1666666666667,13.515927279606128,10.52023953184236,False,1.0,False,False,False,False,False,False,False,True,1.0,3214.3,1,1,1,2,2,1,208.1,375.0,16
1245934578.0,1998540.0,58791.0,1.0,34.0,13.0,20.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.507927972309618,10.981761070208709,False,1.0,True,True,True,True,True,False,False,True,5.0,2619.1,0,0,0,0,0,0,143.1,441.3,16
1632510475.0,2914538.0,39513.0,2.0,73.8,18.0,23.0,10026800,50.376064,30.540911,монолітно-каркасний,без ремонту,2009.0,14.885222217747229,10.584410318473353,False,1.0,False,True,False,False,False,False,False,False,1.0,3192.1,1,2,0,2,3,2,214.2,356.6,23
777554918.0,1457269.0,80941.0,1.0,18.0,6.0,15.0,10026800,50.37478775560019,30.542176907859336,монолітно-каркасний,з ремонтом,2009.0,14.19207538029466,11.301488127786056,False,1.0,False,False,False,False,False,False,True,True,3.0,3291.7,1,2,1,2,0,3,277.1,390.6,1
965621437.0,2498175.0,48590.0,1.0,51.4,12.2,25.0,10026800,50.38209639910575,30.54050994912461,панельні,без ремонту,2012.25,14.73107142355082,10.791193607554506,True,1.0,False,False,False,False,False,False,True,True,4.0,2619.1,0,0,0,0,0,0,143.1,441.3,13
1717029571.0,4288534.0,44676.0,2.0,96.0,16.0,20.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2008.0,15.271455740741091,10.70721410679279,True,2.0,False,False,True,True,False,True,False,True,5.0,2619.1,0,0,0,0,0,0,143.1,441.3,19
1054039983.0,1519724.0,54294.0,1.0,28.0,6.0,4.0,10026800,50.383367,30.534518,панельні,з ремонтом,2009.2222222222224,14.23403995540164,10.902187420651002,True,1.0,True,False,True,True,False,False,True,False,5.0,2431.1,0,1,0,0,0,5,89.6,835.9,3
1706265489.0,745289.0,37265.0,1.0,20.0,5.0,21.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,без ремонту,2012.25,13.521528683363965,10.525836661787356,False,1.0,False,False,False,False,False,True,False,True,2.0,2619.1,0,0,0,0,0,0,143.1,441.3,3
1671201292.0,2040177.0,46383.0,2.0,44.0,15.0,20.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,14.528547616915873,10.744709851161437,True,1.0,True,False,False,False,False,False,True,True,3.0,2619.1,0,0,0,0,0,0,143.1,441.3,12
1940713139.0,1040907.0,26564.0,1.0,39.2,14.1,21.0,10026800,50.376064,30.540911,монолітно-каркасний,без ремонту,2010.1666666666667,13.85560396713067,10.187349838885044,False,1.0,False,False,False,False,False,False,False,False,2.0,3192.1,1,2,0,2,3,2,214.2,356.6,10
1132100811.0,1124179.0,56209.0,1.0,20.0,6.0,20.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,з ремонтом,2012.25,13.93256443896311,10.93684995599612,True,1.0,False,False,True,True,False,False,True,True,1.0,2619.1,0,0,0,0,0,0,143.1,441.3,11
